simulationTime[s],firingID,districtName,districtSafetyLevel,generallyRequiredPatrols,solvingPatrols,reachingPatrols(including 'called'),calledPatrols,totalDistanceOfCalledPatrols,isNight,City,simulationTime[h]
52685,4a6647b5-b57d-462f-8ae0-eb4f46059bd8,Mistrzejowice,RatherSafe,2,1,1,1,1.522022796282356,0,Krakow,14.634722222222223
53826,83671684-25c4-41cd-b245-337f5225148f,Bronowice,NotSafe,4,1,3,3,9.653922294052448,0,Krakow,14.951666666666666
56123,66efe481-4adc-40a6-a8df-bcecad3d1a8e,Mistrzejowice,RatherSafe,5,1,1,1,1.4641003447950003,0,Krakow,15.589722222222223
56125,66efe481-4adc-40a6-a8df-bcecad3d1a8e,Mistrzejowice,RatherSafe,5,1,3,2,5.987523936955927,0,Krakow,15.590277777777779
56209,66efe481-4adc-40a6-a8df-bcecad3d1a8e,Mistrzejowice,RatherSafe,5,1,4,1,3.3974883645045084,0,Krakow,15.613611111111112
58982,4452a90b-ca4e-46fa-899e-7556b687d902,Bieżanów-Prokocim,Safe,3,1,2,2,1.5905569796919516,1,Krakow,16.38388888888889
59593,5b05b9a1-b3f4-4245-8eae-ce2adf32d647,Podgórze Duchackie,NotSafe,6,1,3,3,5.917658239675595,1,Krakow,16.55361111111111
59624,5b05b9a1-b3f4-4245-8eae-ce2adf32d647,Podgórze Duchackie,NotSafe,6,1,5,2,6.390624974970859,1,Krakow,16.56222222222222
60977,19d2547c-861a-474e-bffa-23f451e3cdb6,Grzegórzki,RatherSafe,2,1,1,1,0.6184534215232201,1,Krakow,16.938055555555554
62198,731a9b59-eef0-4e33-a5a3-a18199905f84,Grzegórzki,RatherSafe,3,1,3,3,1.8482242808623373,1,Krakow,17.27722222222222
62535,d94522c9-214e-4136-b896-c523a535ef08,Dębniki,NotSafe,5,1,1,1,1.5107647892745022,1,Krakow,17.370833333333334
62537,d94522c9-214e-4136-b896-c523a535ef08,Dębniki,NotSafe,5,1,2,1,2.8500825401280783,1,Krakow,17.371388888888887
62860,d94522c9-214e-4136-b896-c523a535ef08,Dębniki,NotSafe,5,3,1,1,3.5468968574846396,1,Krakow,17.461111111111112
62861,1f23d8bc-e070-480c-915f-8da3eb664137,Nowa Huta,NotSafe,2,1,1,1,2.7262275555223603,1,Krakow,17.461388888888887
62894,d94522c9-214e-4136-b896-c523a535ef08,Dębniki,NotSafe,5,3,3,2,7.0408166222479265,1,Krakow,17.470555555555556
63532,cf15fd27-be6e-406a-b8a9-21dca0a4134d,Stare Miasto,NotSafe,3,1,2,2,1.4155002710913474,1,Krakow,17.647777777777776
63535,d040d5e6-9096-424a-a6a4-e15608a2a6c4,Bronowice,NotSafe,6,1,3,3,9.242021169490904,1,Krakow,17.648611111111112
63784,d040d5e6-9096-424a-a6a4-e15608a2a6c4,Bronowice,NotSafe,6,4,1,1,3.373780773390179,1,Krakow,17.717777777777776
63893,d040d5e6-9096-424a-a6a4-e15608a2a6c4,Bronowice,NotSafe,6,4,2,1,3.55317911190632,1,Krakow,17.748055555555556
63894,6ebb2b73-f0ca-43aa-ab31-23725bb48ada,Podgórze Duchackie,NotSafe,3,1,1,1,2.2695185772833657,1,Krakow,17.748333333333335
63929,6ebb2b73-f0ca-43aa-ab31-23725bb48ada,Podgórze Duchackie,NotSafe,3,1,5,4,12.551456378845124,1,Krakow,17.758055555555554
64622,c594eb57-6b88-419f-a61f-727e013ce978,Krowodrza,RatherSafe,4,1,1,1,3.077297397937717,1,Krakow,17.950555555555557
64625,c594eb57-6b88-419f-a61f-727e013ce978,Krowodrza,RatherSafe,4,1,3,2,3.2292043831352806,1,Krakow,17.95138888888889
64879,24f83730-727f-41f8-b642-9bc3afee44f7,Nowa Huta,NotSafe,6,1,1,1,1.0608875778070226,1,Krakow,18.021944444444443
64880,24f83730-727f-41f8-b642-9bc3afee44f7,Nowa Huta,NotSafe,6,1,2,1,2.201462401563644,1,Krakow,18.022222222222222
64881,24f83730-727f-41f8-b642-9bc3afee44f7,Nowa Huta,NotSafe,6,1,3,1,1.893071704566756,1,Krakow,18.0225
65209,24f83730-727f-41f8-b642-9bc3afee44f7,Nowa Huta,NotSafe,6,4,1,1,3.4223724895520067,1,Krakow,18.113611111111112
65236,24f83730-727f-41f8-b642-9bc3afee44f7,Nowa Huta,NotSafe,6,4,2,1,3.4453849686975317,1,Krakow,18.121111111111112
66023,b774164b-d742-4690-a465-2d6e8b2d95fc,Podgórze Duchackie,NotSafe,3,1,1,1,0.8922532243474162,1,Krakow,18.33972222222222
66052,b774164b-d742-4690-a465-2d6e8b2d95fc,Podgórze Duchackie,NotSafe,3,1,2,1,1.4494531107723736,1,Krakow,18.34777777777778
66141,f858656f-f7b9-44d0-ac74-1db63a09ce0d,Podgórze Duchackie,NotSafe,4,1,2,2,3.3074892764846155,1,Krakow,18.3725
66171,f858656f-f7b9-44d0-ac74-1db63a09ce0d,Podgórze Duchackie,NotSafe,4,1,5,3,9.177835137039581,1,Krakow,18.38083333333333
67683,44cfba0f-25d7-48dd-8060-ebdb4543dc12,Wzgórza Krzesławickie,Safe,3,1,1,1,3.4546800696007107,1,Krakow,18.800833333333333
67897,12e1470a-a3f6-44d5-8f74-40e616db913b,Stare Miasto,NotSafe,2,1,1,1,1.0492396844649294,1,Krakow,18.860277777777778
67982,fc72fa84-ad82-45a8-892c-6741498e9e87,Nowa Huta,NotSafe,4,1,4,4,6.033212153478211,1,Krakow,18.88388888888889
69106,44cfba0f-25d7-48dd-8060-ebdb4543dc12,Wzgórza Krzesławickie,Safe,3,2,1,1,3.408400372026993,1,Krakow,19.19611111111111
69107,03939618-53ea-4b8b-9795-aa76645b0211,Zwierzyniec,RatherSafe,2,1,1,1,3.1612282753407808,1,Krakow,19.19638888888889
69718,bc5b4956-139c-4d65-b189-903e34690975,Nowa Huta,NotSafe,5,1,1,1,3.5901496762755905,1,Krakow,19.36611111111111
70292,bc5b4956-139c-4d65-b189-903e34690975,Nowa Huta,NotSafe,5,2,1,1,3.3129750139295853,1,Krakow,19.525555555555556
70483,bc5b4956-139c-4d65-b189-903e34690975,Nowa Huta,NotSafe,5,2,2,1,3.448962914975304,1,Krakow,19.578611111111112
70620,bc5b4956-139c-4d65-b189-903e34690975,Nowa Huta,NotSafe,5,2,3,1,3.3459790516796777,1,Krakow,19.616666666666667
71125,f5d29b49-2fa7-482d-a74d-0385cda1921c,Nowa Huta,NotSafe,4,1,2,2,4.019621372883957,1,Krakow,19.756944444444443
71159,f5d29b49-2fa7-482d-a74d-0385cda1921c,Nowa Huta,NotSafe,4,1,6,4,8.659931330269355,1,Krakow,19.76638888888889
71439,3e845c44-a286-49bd-bf16-a814a9ec4521,Nowa Huta,NotSafe,3,1,1,1,3.59106250105778,1,Krakow,19.844166666666666
71440,52dcb753-c00b-46ea-b180-9468a7c7c966,Nowa Huta,NotSafe,4,1,1,1,0.9798723832634298,1,Krakow,19.844444444444445
71441,52dcb753-c00b-46ea-b180-9468a7c7c966,Nowa Huta,NotSafe,4,1,2,1,3.3533477573475063,1,Krakow,19.844722222222224
71472,52dcb753-c00b-46ea-b180-9468a7c7c966,Nowa Huta,NotSafe,4,1,3,1,2.9643342036980913,1,Krakow,19.85333333333333
71560,3a7082c5-4c05-4a4f-928c-faa01f1665b2,Dębniki,NotSafe,3,1,2,2,6.59616443122189,1,Krakow,19.877777777777776
71618,4293caf7-22c5-4e05-ba9e-9397982bc9e0,Zwierzyniec,RatherSafe,5,1,3,3,9.917696267501826,1,Krakow,19.89388888888889
71646,4293caf7-22c5-4e05-ba9e-9397982bc9e0,Zwierzyniec,RatherSafe,5,1,4,1,3.5856267238822084,1,Krakow,19.901666666666667
71979,7d836ef7-eae3-499b-8913-3f557748d26d,Bronowice,NotSafe,4,1,1,1,3.264018735232675,1,Krakow,19.99416666666667
72060,7d836ef7-eae3-499b-8913-3f557748d26d,Bronowice,NotSafe,4,1,2,1,3.528047652592131,1,Krakow,20.016666666666666
72149,7d836ef7-eae3-499b-8913-3f557748d26d,Bronowice,NotSafe,4,1,3,1,1.5539852836276973,1,Krakow,20.04138888888889
72515,3c1d5ac6-5017-4c0c-bd63-14f8ca57d6c5,Mistrzejowice,RatherSafe,5,1,1,1,1.9481076882854915,1,Krakow,20.143055555555556
72516,3c1d5ac6-5017-4c0c-bd63-14f8ca57d6c5,Mistrzejowice,RatherSafe,5,1,2,1,1.0095536422953995,1,Krakow,20.143333333333334
72655,3c1d5ac6-5017-4c0c-bd63-14f8ca57d6c5,Mistrzejowice,RatherSafe,5,1,3,1,3.47230546915512,1,Krakow,20.181944444444444
72762,3c1d5ac6-5017-4c0c-bd63-14f8ca57d6c5,Mistrzejowice,RatherSafe,5,3,2,1,3.4036618371498846,1,Krakow,20.211666666666666
72867,3e845c44-a286-49bd-bf16-a814a9ec4521,Nowa Huta,NotSafe,3,2,1,1,3.550244688131603,1,Krakow,20.240833333333335
72946,281906e8-4f34-4e81-8348-fdc5b8e2685a,Podgórze Duchackie,NotSafe,3,1,2,2,3.7436345229518184,1,Krakow,20.262777777777778
73627,1bf6f242-d5a6-4971-a51b-2e3c1df8b4fe,Czyżyny,RatherSafe,3,1,2,2,3.435243515660284,1,Krakow,20.451944444444443
74448,52dcb753-c00b-46ea-b180-9468a7c7c966,Nowa Huta,NotSafe,4,3,1,1,3.353500307820564,1,Krakow,20.68
75336,eb91fc55-aa75-4479-978b-babb552ff319,Bronowice,NotSafe,6,1,1,1,3.5705369660168955,1,Krakow,20.926666666666666
75558,eb91fc55-aa75-4479-978b-babb552ff319,Bronowice,NotSafe,6,1,2,1,1.0769473269060852,1,Krakow,20.988333333333333
75634,64957d4e-f057-406b-8f3c-7d7f09eb707c,Mistrzejowice,RatherSafe,3,1,1,1,2.3674946562059276,1,Krakow,21.009444444444444
75636,64957d4e-f057-406b-8f3c-7d7f09eb707c,Mistrzejowice,RatherSafe,3,1,3,2,5.538956935601154,1,Krakow,21.01
75750,b9666786-62c5-46d0-9ab2-ad19562fb75d,Podgórze Duchackie,NotSafe,5,1,1,1,1.8848286184314593,1,Krakow,21.041666666666668
75752,6e0d5a1f-5b1a-4690-99ff-902892245be1,Zwierzyniec,RatherSafe,2,1,2,2,6.591899120411183,1,Krakow,21.04222222222222
75965,eb91fc55-aa75-4479-978b-babb552ff319,Bronowice,NotSafe,6,3,1,1,3.4863920274095364,1,Krakow,21.101388888888888
76105,b9666786-62c5-46d0-9ab2-ad19562fb75d,Podgórze Duchackie,NotSafe,5,2,1,1,3.407981602565354,1,Krakow,21.14027777777778
76159,b9666786-62c5-46d0-9ab2-ad19562fb75d,Podgórze Duchackie,NotSafe,5,2,2,1,1.7515479969446723,1,Krakow,21.155277777777776
76190,eb91fc55-aa75-4479-978b-babb552ff319,Bronowice,NotSafe,6,3,6,5,11.964910196427223,1,Krakow,21.163888888888888
76219,b9666786-62c5-46d0-9ab2-ad19562fb75d,Podgórze Duchackie,NotSafe,5,2,3,1,3.4892556530729704,1,Krakow,21.171944444444446
76705,eed893f3-d550-42a1-9c4a-f74950d0e5b4,Nowa Huta,NotSafe,3,1,1,1,3.404697920708842,1,Krakow,21.306944444444444
76862,198f3e38-9fbe-47ea-9d4c-8e9c65f7ed84,Stare Miasto,NotSafe,4,1,3,3,5.232551835786277,1,Krakow,21.350555555555555
77209,154ca510-6d90-420c-be3b-2b945d5ad5de,Prądnik Czerwony,RatherSafe,2,1,1,1,1.4628327802777938,1,Krakow,21.446944444444444
78133,5f05f394-c6fc-44db-b389-23c42912f779,Bronowice,NotSafe,5,1,5,5,8.4949279492631,1,Krakow,21.703611111111112
78218,df2f7f76-d7d6-44f5-8ac9-c91b07382bf0,Nowa Huta,NotSafe,3,1,1,1,3.584209764146509,1,Krakow,21.727222222222224
78622,e8522a00-457e-41a4-9d69-91a37b538f55,Podgórze Duchackie,NotSafe,2,1,1,1,1.1815313135878664,1,Krakow,21.839444444444446
78624,c37e0bc0-e688-4fdb-8566-f5935317c760,Dębniki,NotSafe,6,1,2,2,3.286494806128073,1,Krakow,21.84
78626,c37e0bc0-e688-4fdb-8566-f5935317c760,Dębniki,NotSafe,6,1,4,2,6.457824330906064,1,Krakow,21.840555555555557
79206,c37e0bc0-e688-4fdb-8566-f5935317c760,Dębniki,NotSafe,6,5,1,1,3.531947589091426,1,Krakow,22.001666666666665
79834,df2f7f76-d7d6-44f5-8ac9-c91b07382bf0,Nowa Huta,NotSafe,3,2,1,1,3.5301928555303257,1,Krakow,22.176111111111112
82587,7122d02f-b920-4aa0-8535-0b01df819428,Prądnik Biały,Safe,4,1,5,5,10.152866767170227,1,Krakow,22.940833333333334
83163,eed893f3-d550-42a1-9c4a-f74950d0e5b4,Nowa Huta,NotSafe,3,2,1,1,0.0,1,Krakow,23.100833333333334
83483,3ac2d96a-cfb3-4365-a499-b384a076efda,Mistrzejowice,RatherSafe,5,1,1,1,1.648868470537885,1,Krakow,23.189722222222223
83485,3ac2d96a-cfb3-4365-a499-b384a076efda,Mistrzejowice,RatherSafe,5,1,3,2,5.716237372876172,1,Krakow,23.190277777777776
83677,3ac2d96a-cfb3-4365-a499-b384a076efda,Mistrzejowice,RatherSafe,5,2,3,1,3.393559559820824,1,Krakow,23.24361111111111
83851,476b57da-d7b6-48f6-bbeb-8cda0799f451,Dębniki,NotSafe,5,1,1,1,0.7696859494988151,1,Krakow,23.291944444444443
83960,476b57da-d7b6-48f6-bbeb-8cda0799f451,Dębniki,NotSafe,5,1,2,1,3.269126460329754,1,Krakow,23.322222222222223
84305,476b57da-d7b6-48f6-bbeb-8cda0799f451,Dębniki,NotSafe,5,2,2,1,3.330001796491824,1,Krakow,23.418055555555554
84558,05df5c4a-30c8-4dd8-8909-ce977868023a,Prądnik Biały,Safe,3,1,2,2,4.417499217841542,1,Krakow,23.488333333333333
84811,e7e1f305-be4d-4e2f-aa07-c7b677bf5609,Krowodrza,RatherSafe,4,1,1,1,0.31820693541363826,1,Krakow,23.558611111111112
84812,e7e1f305-be4d-4e2f-aa07-c7b677bf5609,Krowodrza,RatherSafe,4,1,2,1,1.4646261408910006,1,Krakow,23.558888888888887
84813,e7e1f305-be4d-4e2f-aa07-c7b677bf5609,Krowodrza,RatherSafe,4,1,3,1,2.689659555667515,1,Krakow,23.559166666666666
85971,476b57da-d7b6-48f6-bbeb-8cda0799f451,Dębniki,NotSafe,5,4,1,1,3.5172904789973853,1,Krakow,23.88083333333333
85973,af14a3dd-7761-4e3e-b9af-6192b0122f7b,Bronowice,NotSafe,3,1,2,2,1.8386077723008403,1,Krakow,23.88138888888889
