"simulationTime[s]","districtName","districtSafetyLevel","amountOfPatrols","amountOfPatrollingPatrols","amountOfCalculatingPathPatrols","amountOfTransferToInterventionPatrols","amountOfTransferToFiringPatrols","amountOfInterventionPatrols","amountOfFiringPatrols","amountOfReturningToHqPatrols","amountOfIncidents","isNight"
3611,£agiewniki-Borek Fa³êcki,RatherSafe,1,1,0,0,0,0,0,0,0,0
3611,Dêbniki,NotSafe,2,2,0,0,0,0,0,0,0,0
3611,Swoszowice,Safe,6,4,1,0,0,1,0,0,1,0
3611,Podgórze,Safe,1,1,0,0,0,0,0,0,0,0
3611,Stare Miasto,NotSafe,2,0,0,1,0,1,0,0,2,0
3611,Zwierzyniec,RatherSafe,4,1,1,0,0,1,1,0,2,0
3611,Podgórze Duchackie,NotSafe,1,1,0,0,0,0,0,0,0,0
3611,Bie¿anów-Prokocim,Safe,1,1,0,0,0,0,0,0,0,0
3611,Nowa Huta,NotSafe,4,1,1,0,0,2,0,0,2,0
3611,Wzgórza Krzes³awickie,Safe,2,1,0,0,0,1,0,0,1,0
3611,Czy¿yny,RatherSafe,3,2,0,0,0,1,0,0,1,0
3611,Grzegórzki,RatherSafe,4,2,0,0,0,2,0,0,2,0
3611,Krowodrza,RatherSafe,1,0,1,0,0,0,0,0,0,0
3611,Bronowice,NotSafe,2,0,2,0,0,0,0,0,0,0
3611,Pr¹dnik Bia³y,Safe,2,1,0,0,0,1,0,0,1,0
3611,Pr¹dnik Czerwony,RatherSafe,1,1,0,0,0,0,0,0,0,0
3611,Mistrzejowice,RatherSafe,2,0,1,0,0,1,0,0,1,0
3611,Bieñczyce,RatherSafe,1,0,0,0,0,1,0,0,1,0
7200,£agiewniki-Borek Fa³êcki,RatherSafe,2,1,0,1,0,0,0,0,0,0
7200,Dêbniki,NotSafe,7,1,0,0,0,0,6,0,1,0
7200,Swoszowice,Safe,1,1,0,0,0,0,0,0,0,0
7200,Podgórze,Safe,5,4,1,0,0,0,0,0,0,0
7200,Stare Miasto,NotSafe,8,0,0,0,0,1,7,0,3,0
7200,Zwierzyniec,RatherSafe,7,3,0,0,0,0,4,0,1,0
7200,Podgórze Duchackie,NotSafe,0,0,0,0,0,0,0,0,1,0
7200,Bie¿anów-Prokocim,Safe,3,3,0,0,0,0,0,0,0,0
7200,Nowa Huta,NotSafe,3,2,0,1,0,0,0,0,1,0
7200,Wzgórza Krzes³awickie,Safe,0,0,0,0,0,0,0,0,0,0
7200,Czy¿yny,RatherSafe,0,0,0,0,0,0,0,0,0,0
7200,Grzegórzki,RatherSafe,1,1,0,0,0,0,0,0,0,0
7200,Krowodrza,RatherSafe,2,0,0,1,0,1,0,0,3,0
7200,Bronowice,NotSafe,1,1,0,0,0,0,0,0,0,0
7200,Pr¹dnik Bia³y,Safe,1,1,0,0,0,0,0,0,0,0
7200,Pr¹dnik Czerwony,RatherSafe,1,0,0,0,0,1,0,0,1,0
7200,Mistrzejowice,RatherSafe,2,1,0,0,0,1,0,0,1,0
7200,Bieñczyce,RatherSafe,1,0,0,0,0,1,0,0,1,0
10800,£agiewniki-Borek Fa³êcki,RatherSafe,0,0,0,0,0,0,0,0,0,0
10800,Dêbniki,NotSafe,5,4,1,0,0,0,0,0,0,0
10800,Swoszowice,Safe,2,1,0,1,0,0,0,0,1,0
10800,Podgórze,Safe,1,1,0,0,0,0,0,0,1,0
10800,Stare Miasto,NotSafe,5,0,0,0,0,0,5,0,1,0
10800,Zwierzyniec,RatherSafe,4,3,0,0,0,1,0,0,1,0
10800,Podgórze Duchackie,NotSafe,6,1,0,0,0,2,3,0,3,0
10800,Bie¿anów-Prokocim,Safe,0,0,0,0,0,0,0,0,0,0
10800,Nowa Huta,NotSafe,5,0,0,0,0,0,4,0,2,0
10800,Wzgórza Krzes³awickie,Safe,0,0,0,0,0,0,0,0,0,0
10800,Czy¿yny,RatherSafe,3,0,0,0,0,0,3,0,2,0
10800,Grzegórzki,RatherSafe,2,1,0,0,0,1,0,0,1,0
10800,Krowodrza,RatherSafe,1,0,0,0,0,1,0,0,1,0
10800,Bronowice,NotSafe,8,0,0,0,0,2,6,0,3,0
10800,Pr¹dnik Bia³y,Safe,0,0,0,0,0,0,0,0,0,0
10800,Pr¹dnik Czerwony,RatherSafe,2,1,0,0,0,1,0,0,1,0
10800,Mistrzejowice,RatherSafe,0,0,0,0,0,0,0,0,0,0
10800,Bieñczyce,RatherSafe,1,0,0,1,0,0,0,0,0,0
14401,£agiewniki-Borek Fa³êcki,RatherSafe,1,0,0,0,0,1,0,0,1,0
14401,Dêbniki,NotSafe,4,3,0,0,0,1,0,0,1,0
14401,Swoszowice,Safe,0,0,0,0,0,0,0,0,0,0
14401,Podgórze,Safe,4,4,0,0,0,0,0,0,0,0
14401,Stare Miasto,NotSafe,7,2,0,0,0,0,5,0,1,0
14401,Zwierzyniec,RatherSafe,1,0,0,1,0,0,0,0,0,0
14401,Podgórze Duchackie,NotSafe,0,0,0,0,0,0,0,0,1,0
14401,Bie¿anów-Prokocim,Safe,2,1,0,1,0,0,0,0,0,0
14401,Nowa Huta,NotSafe,7,2,0,0,0,0,5,0,1,0
14401,Wzgórza Krzes³awickie,Safe,1,1,0,0,0,0,0,0,0,0
14401,Czy¿yny,RatherSafe,3,3,0,0,0,0,0,0,0,0
14401,Grzegórzki,RatherSafe,7,3,0,0,0,0,4,0,1,0
14401,Krowodrza,RatherSafe,1,0,0,1,0,0,0,0,0,0
14401,Bronowice,NotSafe,0,0,0,0,0,0,0,0,2,0
14401,Pr¹dnik Bia³y,Safe,2,1,1,0,0,0,0,0,0,0
14401,Pr¹dnik Czerwony,RatherSafe,1,0,0,0,0,1,0,0,1,0
14401,Mistrzejowice,RatherSafe,0,0,0,0,0,0,0,0,0,0
14401,Bieñczyce,RatherSafe,3,3,0,0,0,0,0,0,0,0
18002,£agiewniki-Borek Fa³êcki,RatherSafe,3,2,0,0,0,0,1,0,1,0
18002,Dêbniki,NotSafe,3,3,0,0,0,0,0,0,0,0
18002,Swoszowice,Safe,2,2,0,0,0,0,0,0,0,0
18002,Podgórze,Safe,3,2,1,0,0,0,0,0,0,0
18002,Stare Miasto,NotSafe,4,0,0,0,0,1,3,0,1,0
18002,Zwierzyniec,RatherSafe,1,0,0,0,0,1,0,0,1,0
18002,Podgórze Duchackie,NotSafe,10,0,0,0,0,0,10,0,2,0
18002,Bie¿anów-Prokocim,Safe,1,1,0,0,0,0,0,0,0,0
18002,Nowa Huta,NotSafe,6,3,1,0,0,2,0,0,2,0
18002,Wzgórza Krzes³awickie,Safe,1,1,0,0,0,0,0,0,0,0
18002,Czy¿yny,RatherSafe,1,1,0,0,0,0,0,0,0,0
18002,Grzegórzki,RatherSafe,4,0,0,0,0,1,3,0,2,0
18002,Krowodrza,RatherSafe,1,1,0,0,0,0,0,0,0,0
18002,Bronowice,NotSafe,0,0,0,0,0,0,0,0,0,0
18002,Pr¹dnik Bia³y,Safe,0,0,0,0,0,0,0,0,0,0
18002,Pr¹dnik Czerwony,RatherSafe,1,1,0,0,0,0,0,0,0,0
18002,Mistrzejowice,RatherSafe,3,0,1,0,0,2,0,0,2,0
18002,Bieñczyce,RatherSafe,0,0,0,0,0,0,0,0,0,0
21601,£agiewniki-Borek Fa³êcki,RatherSafe,0,0,0,0,0,0,0,0,0,0
21601,Dêbniki,NotSafe,5,5,0,0,0,0,0,0,0,0
21601,Swoszowice,Safe,2,1,0,0,0,1,0,0,1,0
21601,Podgórze,Safe,5,3,0,0,0,2,0,0,2,0
21601,Stare Miasto,NotSafe,2,1,0,0,0,1,0,0,1,0
21601,Zwierzyniec,RatherSafe,6,5,0,0,0,1,0,0,1,0
21601,Podgórze Duchackie,NotSafe,1,1,0,0,0,0,0,0,0,0
21601,Bie¿anów-Prokocim,Safe,2,2,0,0,0,0,0,0,0,0
21601,Nowa Huta,NotSafe,3,1,0,0,0,2,0,0,2,0
21601,Wzgórza Krzes³awickie,Safe,0,0,0,0,0,0,0,0,0,0
21601,Czy¿yny,RatherSafe,6,3,0,0,0,0,3,0,1,0
21601,Grzegórzki,RatherSafe,4,1,0,0,0,0,3,0,1,0
21601,Krowodrza,RatherSafe,1,1,0,0,0,0,0,0,0,0
21601,Bronowice,NotSafe,1,0,0,0,0,1,0,0,1,0
21601,Pr¹dnik Bia³y,Safe,2,2,0,0,0,0,0,0,0,0
21601,Pr¹dnik Czerwony,RatherSafe,2,1,0,0,0,1,0,0,1,0
21601,Mistrzejowice,RatherSafe,0,0,0,0,0,0,0,0,0,0
21601,Bieñczyce,RatherSafe,1,1,0,0,0,0,0,0,0,0
25200,£agiewniki-Borek Fa³êcki,RatherSafe,3,0,0,0,0,3,0,0,3,0
25200,Dêbniki,NotSafe,2,1,0,0,0,1,0,0,1,0
25200,Swoszowice,Safe,0,0,0,0,0,0,0,0,0,0
25200,Podgórze,Safe,5,5,0,0,0,0,0,0,0,0
25200,Stare Miasto,NotSafe,9,0,0,0,0,3,6,0,4,0
25200,Zwierzyniec,RatherSafe,1,0,0,1,0,0,0,0,0,0
25200,Podgórze Duchackie,NotSafe,5,5,0,0,0,0,0,0,0,0
25200,Bie¿anów-Prokocim,Safe,1,1,0,0,0,0,0,0,0,0
25200,Nowa Huta,NotSafe,5,3,0,1,0,1,0,0,1,0
25200,Wzgórza Krzes³awickie,Safe,1,0,0,1,0,0,0,0,2,0
25200,Czy¿yny,RatherSafe,2,2,0,0,0,0,0,0,0,0
25200,Grzegórzki,RatherSafe,5,0,0,0,0,0,5,0,1,0
25200,Krowodrza,RatherSafe,2,2,0,0,0,0,0,0,1,0
25200,Bronowice,NotSafe,2,0,0,0,0,2,0,0,3,0
25200,Pr¹dnik Bia³y,Safe,0,0,0,0,0,0,0,0,0,0
25200,Pr¹dnik Czerwony,RatherSafe,0,0,0,0,0,0,0,0,0,0
25200,Mistrzejowice,RatherSafe,1,1,0,0,0,0,0,0,0,0
25200,Bieñczyce,RatherSafe,0,0,0,0,0,0,0,0,0,0
28802,£agiewniki-Borek Fa³êcki,RatherSafe,0,0,0,0,0,0,0,0,0,0
28802,Dêbniki,NotSafe,9,1,0,0,0,2,6,0,5,0
28802,Swoszowice,Safe,1,0,0,1,0,0,0,0,0,0
28802,Podgórze,Safe,2,1,0,1,0,0,0,0,1,0
28802,Stare Miasto,NotSafe,1,0,0,0,0,1,0,0,1,0
28802,Zwierzyniec,RatherSafe,2,0,0,1,0,1,0,0,1,0
28802,Podgórze Duchackie,NotSafe,6,0,0,0,0,1,5,0,2,0
28802,Bie¿anów-Prokocim,Safe,2,1,0,0,0,1,0,0,1,0
28802,Nowa Huta,NotSafe,1,1,0,0,0,0,0,0,0,0
28802,Wzgórza Krzes³awickie,Safe,1,1,0,0,0,0,0,0,0,0
28802,Czy¿yny,RatherSafe,5,3,0,0,0,2,0,0,2,0
28802,Grzegórzki,RatherSafe,0,0,0,0,0,0,0,0,0,0
28802,Krowodrza,RatherSafe,2,2,0,0,0,0,0,0,0,0
28802,Bronowice,NotSafe,11,0,0,0,0,1,10,0,3,0
28802,Pr¹dnik Bia³y,Safe,1,0,0,0,0,1,0,0,1,0
28802,Pr¹dnik Czerwony,RatherSafe,1,1,0,0,0,0,0,0,0,0
28802,Mistrzejowice,RatherSafe,1,0,0,0,0,1,0,0,1,0
28802,Bieñczyce,RatherSafe,2,0,0,0,0,2,0,0,2,0
32400,£agiewniki-Borek Fa³êcki,RatherSafe,2,0,0,0,1,0,1,0,2,0
32400,Dêbniki,NotSafe,4,3,0,0,0,1,0,0,1,0
32400,Swoszowice,Safe,0,0,0,0,0,0,0,0,0,0
32400,Podgórze,Safe,2,2,0,0,0,0,0,0,0,0
32400,Stare Miasto,NotSafe,6,4,0,0,0,2,0,0,2,0
32400,Zwierzyniec,RatherSafe,5,2,0,0,0,0,0,3,0,0
32400,Podgórze Duchackie,NotSafe,4,0,1,0,2,1,0,0,1,0
32400,Bie¿anów-Prokocim,Safe,2,2,0,0,0,0,0,0,0,0
32400,Nowa Huta,NotSafe,6,5,0,0,0,1,0,0,1,0
32400,Wzgórza Krzes³awickie,Safe,1,0,0,0,0,1,0,0,1,0
32400,Czy¿yny,RatherSafe,2,1,0,1,0,0,0,0,0,0
32400,Grzegórzki,RatherSafe,1,1,0,0,0,0,0,0,0,0
32400,Krowodrza,RatherSafe,2,1,0,0,0,1,0,0,1,0
32400,Bronowice,NotSafe,3,1,0,0,0,2,0,0,2,0
32400,Pr¹dnik Bia³y,Safe,2,1,0,0,0,1,0,0,1,0
32400,Pr¹dnik Czerwony,RatherSafe,6,1,0,0,0,1,4,0,2,0
32400,Mistrzejowice,RatherSafe,2,1,0,0,0,1,0,0,2,0
32400,Bieñczyce,RatherSafe,2,2,0,0,0,0,0,0,0,0
36000,£agiewniki-Borek Fa³êcki,RatherSafe,3,1,0,0,0,2,0,0,2,0
36000,Dêbniki,NotSafe,3,3,0,0,0,0,0,0,0,0
36000,Swoszowice,Safe,1,1,0,0,0,0,0,0,1,0
36000,Podgórze,Safe,7,4,0,0,0,0,3,0,1,0
36000,Stare Miasto,NotSafe,5,4,0,0,0,1,0,0,1,0
36000,Zwierzyniec,RatherSafe,2,2,0,0,0,0,0,0,0,0
36000,Podgórze Duchackie,NotSafe,1,0,0,1,0,0,0,0,0,0
36000,Bie¿anów-Prokocim,Safe,3,3,0,0,0,0,0,0,0,0
36000,Nowa Huta,NotSafe,7,2,0,0,0,0,5,0,1,0
36000,Wzgórza Krzes³awickie,Safe,1,1,0,0,0,0,0,0,0,0
36000,Czy¿yny,RatherSafe,8,6,0,1,0,1,0,0,1,0
36000,Grzegórzki,RatherSafe,1,0,1,0,0,0,0,0,0,0
36000,Krowodrza,RatherSafe,1,0,1,0,0,0,0,0,0,0
36000,Bronowice,NotSafe,1,1,0,0,0,0,0,0,0,0
36000,Pr¹dnik Bia³y,Safe,0,0,0,0,0,0,0,0,0,0
36000,Pr¹dnik Czerwony,RatherSafe,1,0,0,0,0,1,0,0,1,0
36000,Mistrzejowice,RatherSafe,0,0,0,0,0,0,0,0,1,0
36000,Bieñczyce,RatherSafe,0,0,0,0,0,0,0,0,0,0
39600,£agiewniki-Borek Fa³êcki,RatherSafe,3,1,0,0,0,2,0,0,3,0
39600,Dêbniki,NotSafe,5,3,0,1,0,1,0,0,2,0
39600,Swoszowice,Safe,4,2,0,0,0,2,0,0,2,0
39600,Podgórze,Safe,5,5,0,0,0,0,0,0,0,0
39600,Stare Miasto,NotSafe,2,2,0,0,0,0,0,0,0,0
39600,Zwierzyniec,RatherSafe,0,0,0,0,0,0,0,0,0,0
39600,Podgórze Duchackie,NotSafe,2,1,0,0,0,1,0,0,1,0
39600,Bie¿anów-Prokocim,Safe,0,0,0,0,0,0,0,0,0,0
39600,Nowa Huta,NotSafe,7,3,0,1,0,0,3,0,2,0
39600,Wzgórza Krzes³awickie,Safe,1,0,0,0,0,1,0,0,1,0
39600,Czy¿yny,RatherSafe,2,2,0,0,0,0,0,0,0,0
39600,Grzegórzki,RatherSafe,4,0,0,0,0,1,3,0,2,0
39600,Krowodrza,RatherSafe,1,1,0,0,0,0,0,0,0,0
39600,Bronowice,NotSafe,2,1,0,0,0,1,0,0,1,0
39600,Pr¹dnik Bia³y,Safe,3,2,1,0,0,0,0,0,0,0
39600,Pr¹dnik Czerwony,RatherSafe,2,1,0,0,0,1,0,0,1,0
39600,Mistrzejowice,RatherSafe,0,0,0,0,0,0,0,0,0,0
39600,Bieñczyce,RatherSafe,1,0,0,0,0,1,0,0,1,0
43200,£agiewniki-Borek Fa³êcki,RatherSafe,4,0,0,0,0,1,3,0,2,0
43200,Dêbniki,NotSafe,2,0,0,1,0,1,0,0,2,0
43200,Swoszowice,Safe,1,0,0,0,0,1,0,0,1,0
43200,Podgórze,Safe,1,0,0,1,0,0,0,0,0,0
43200,Stare Miasto,NotSafe,5,0,0,0,0,0,5,0,1,0
43200,Zwierzyniec,RatherSafe,1,0,0,1,0,0,0,0,1,0
